attn_impl,benchmark,resolution,max_new_tokens,sample_id,visual_encoder_ms,window_attn_ms,full_attn_ms,llm_prefill_ms,decode_loop_ms,ttft_ms,tpot_ms,e2e_ms,f_vision,actual_generated_tokens
fa2,docvqa,1792,64,docvqa_554,155.724,111.498,34.816,222.175,885.381,224.683,32.792,1110.064,0.140284,28.0
fa2,docvqa,1792,64,docvqa_555,155.168,111.332,34.783,221.408,701.35,223.976,31.88,925.326,0.16769,23.0
fa2,docvqa,1792,64,docvqa_57899,163.848,113.442,35.433,231.308,538.457,233.814,29.914,772.271,0.212164,19.0
fa2,docvqa,1792,64,docvqa_57900,157.919,111.212,34.774,224.195,412.056,226.437,29.433,638.494,0.24733,15.0
fa2,docvqa,1792,64,docvqa_57901,154.829,111.323,34.808,221.127,1070.565,223.612,32.441,1294.177,0.119635,34.0
fa2,docvqa,1792,64,docvqa_57902,156.256,112.423,34.863,222.337,342.981,224.742,34.298,567.723,0.275234,11.0
fa2,docvqa,1792,64,docvqa_57903,157.137,111.243,34.679,223.293,630.433,225.877,28.656,856.309,0.183505,23.0
fa2,docvqa,1792,64,docvqa_57904,154.706,111.235,34.735,223.071,1916.354,225.284,30.418,2141.638,0.072237,64.0
fa2,docvqa,1792,64,docvqa_57905,160.73,111.93,34.841,228.698,560.86,230.931,29.519,791.791,0.202995,20.0
fa2,docvqa,1792,64,docvqa_581,179.437,120.57,34.839,245.973,347.015,249.824,28.918,596.839,0.300646,13.0
fa2,docvqa,1792,64,docvqa_582,154.765,111.308,34.806,220.825,511.616,223.337,26.927,734.953,0.210578,20.0
fa2,docvqa,1792,64,docvqa_583,162.014,117.253,34.818,229.911,434.372,232.086,31.027,666.458,0.243097,15.0
fa2,docvqa,1792,64,docvqa_57928,158.409,111.682,34.817,225.851,338.116,228.417,37.568,566.533,0.27961,10.0
fa2,docvqa,1792,64,docvqa_57929,157.7,111.517,34.81,224.036,1345.77,226.418,28.633,1572.188,0.100306,48.0
fa2,docvqa,1792,64,docvqa_584,159.363,113.367,34.736,225.651,441.253,227.94,29.417,669.192,0.238142,16.0
fa2,docvqa,1792,64,docvqa_57931,155.777,112.003,34.798,223.722,170.778,225.864,28.463,396.643,0.392738,7.0
fa2,docvqa,1792,64,docvqa_57933,155.459,112.082,34.784,222.503,404.478,224.743,31.114,629.221,0.247067,14.0
fa2,docvqa,1792,64,docvqa_57934,155.485,111.465,34.721,223.653,525.396,226.116,29.189,751.512,0.206896,19.0
fa2,docvqa,1792,64,docvqa_596,155.52,111.603,34.688,223.73,689.336,226.433,27.573,915.768,0.169824,26.0
fa2,docvqa,1792,64,docvqa_597,158.567,114.449,34.857,225.386,466.678,228.091,33.334,694.768,0.22823,15.0
fa2,docvqa,1792,64,docvqa_598,158.7,111.513,34.815,226.072,1398.001,228.517,31.067,1626.518,0.09757,46.0
fa2,docvqa,1792,64,docvqa_599,158.911,111.294,34.782,226.674,1844.166,229.249,31.257,2073.416,0.076642,60.0
fa2,docvqa,1792,64,docvqa_600,188.449,114.904,34.829,254.73,285.116,258.2,28.512,543.316,0.346849,11.0
fa2,docvqa,1792,64,docvqa_601,159.666,111.745,34.804,228.313,1478.678,230.805,30.177,1709.483,0.0934,50.0
fa2,docvqa,1792,64,docvqa_16981,167.285,112.598,34.856,233.76,501.844,237.32,31.365,739.164,0.226316,17.0
fa2,docvqa,1792,64,docvqa_16990,156.246,111.839,34.878,222.845,660.197,225.407,34.747,885.604,0.176429,20.0
fa2,docvqa,1792,64,docvqa_57951,158.285,112.953,34.861,226.214,235.066,228.695,29.383,463.762,0.341307,9.0
fa2,docvqa,1792,64,docvqa_57952,155.146,111.498,34.739,221.993,521.804,224.425,34.787,746.229,0.207906,16.0
fa2,docvqa,1792,64,docvqa_57954,158.541,112.223,34.838,225.001,513.576,227.485,32.098,741.061,0.213939,17.0
fa2,docvqa,1792,64,docvqa_57955,156.392,112.237,34.793,222.628,459.519,225.199,35.348,684.718,0.228403,14.0
