benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_e2e_ms,fa2_ttft_ms,fa2_tpot_ms,guide_ve_ms,guide_e2e_ms,guide_ttft_ms,guide_tpot_ms
chartqa,1792,1024,chartqa_val_67,approximated,367.098,1874.455,428.934,22.239,0.195843,155.419,1662.776,217.255,22.239,156.041,1663.398,217.877,22.239
chartqa,1792,1024,chartqa_val_68,approximated,368.395,632.226,430.664,22.396,0.582696,158.412,422.243,220.681,22.396,156.054,419.885,218.323,22.396
chartqa,1792,1024,chartqa_val_69,approximated,368.505,3404.131,430.35,22.359,0.108252,157.062,3192.688,218.907,22.359,156.141,3191.767,217.986,22.359
chartqa,1792,1024,chartqa_val_70,approximated,368.516,3514.667,431.09,23.36,0.104851,154.967,3301.118,217.541,23.36,156.037,3302.188,218.611,23.36
chartqa,1792,1024,chartqa_val_71,approximated,358.323,4350.443,796.648,21.937,0.082365,155.571,4147.691,593.896,21.937,156.66,4148.78,594.985,21.937
chartqa,1792,1024,chartqa_val_72,approximated,357.584,767.333,420.165,21.698,0.466009,155.448,565.197,218.029,21.698,156.21,565.959,218.791,21.698
chartqa,1792,1024,chartqa_val_73,approximated,359.329,3104.862,421.77,22.359,0.115731,154.636,2900.169,217.077,22.359,156.115,2901.648,218.556,22.359
chartqa,1792,1024,chartqa_val_74,approximated,363.491,803.721,425.512,22.248,0.45226,155.445,595.675,217.466,22.248,156.005,596.235,218.026,22.248
chartqa,1792,1024,chartqa_val_75,approximated,366.356,4589.839,428.379,22.018,0.079819,155.305,4378.788,217.328,22.018,155.924,4379.407,217.947,22.018
chartqa,1792,1024,chartqa_val_76,approximated,351.604,687.228,413.882,21.027,0.511626,156.111,491.735,218.389,21.027,156.208,491.832,218.486,21.027
chartqa,1792,1024,chartqa_val_77,approximated,367.385,4512.209,430.024,21.947,0.08142,154.739,4299.563,217.378,21.947,156.145,4300.969,218.784,21.947
chartqa,1792,1024,chartqa_val_78,approximated,366.929,971.027,429.352,21.667,0.377878,156.161,760.259,218.584,21.667,157.429,761.527,219.852,21.667
chartqa,1792,1024,chartqa_val_79,approximated,359.402,967.743,421.561,21.847,0.371382,155.721,764.062,217.88,21.847,156.301,764.642,218.46,21.847
chartqa,1792,1024,chartqa_val_80,approximated,479.947,958.577,542.267,20.815,0.500687,160.89,639.52,223.21,20.815,156.38,635.01,218.7,20.815
chartqa,1792,1024,chartqa_val_81,approximated,362.428,3367.579,425.127,22.291,0.107623,155.106,3160.257,217.805,22.291,156.149,3161.3,218.848,22.291
chartqa,1792,1024,chartqa_val_82,approximated,368.033,736.291,430.536,23.52,0.499847,155.973,524.231,218.476,23.52,156.008,524.266,218.511,23.52
chartqa,1792,1024,chartqa_val_83,approximated,364.534,3600.189,426.434,21.3,0.101254,175.438,3411.093,237.338,21.3,156.088,3391.743,217.988,21.3
chartqa,1792,1024,chartqa_val_84,approximated,351.109,896.993,413.612,21.017,0.391429,156.783,702.667,219.286,21.017,156.09,701.974,218.593,21.017
chartqa,1792,1024,chartqa_val_85,approximated,350.175,7445.054,412.024,21.12,0.047035,154.521,7249.4,216.37,21.12,155.943,7250.822,217.792,21.12
chartqa,1792,1024,chartqa_val_86,approximated,354.124,880.257,416.077,21.099,0.402296,156.444,682.577,218.397,21.099,156.034,682.167,217.987,21.099
chartqa,1792,1024,chartqa_val_87,approximated,345.576,1187.704,407.622,20.528,0.290961,158.75,1000.878,220.796,20.528,155.909,998.037,217.955,20.528
chartqa,1792,1024,chartqa_val_88,approximated,347.983,1526.89,409.739,20.688,0.227903,159.387,1338.294,221.143,20.688,156.152,1335.059,217.908,20.688
chartqa,1792,1024,chartqa_val_89,approximated,363.875,4511.392,427.064,22.197,0.080657,156.345,4303.862,219.534,22.197,156.187,4303.704,219.376,22.197
chartqa,1792,1024,chartqa_val_90,approximated,365.649,1402.688,427.789,22.157,0.260677,155.066,1192.105,217.206,22.157,156.036,1193.075,218.176,22.157
chartqa,1792,1024,chartqa_val_91,approximated,371.842,1838.219,434.002,22.649,0.202284,155.236,1621.613,217.396,22.649,155.978,1622.355,218.138,22.649
chartqa,1792,1024,chartqa_val_92,approximated,362.956,709.045,424.831,21.863,0.511894,155.983,502.072,217.858,21.863,155.926,502.015,217.801,21.863
chartqa,1792,1024,chartqa_val_93,approximated,350.508,1294.914,413.05,20.508,0.27068,154.993,1099.399,217.535,20.508,156.057,1100.463,218.599,20.508
chartqa,1792,1024,chartqa_val_94,approximated,361.255,1736.497,424.279,21.87,0.208037,156.464,1531.706,219.488,21.87,156.391,1531.633,219.415,21.87
chartqa,1792,1024,chartqa_val_95,approximated,358.736,2267.541,420.959,21.724,0.158205,157.279,2066.084,219.502,21.724,155.862,2064.667,218.085,21.724
chartqa,1792,1024,chartqa_val_96,approximated,359.19,1116.603,421.661,21.059,0.321681,159.182,916.595,221.653,21.059,156.261,913.674,218.732,21.059
chartqa,1792,1024,chartqa_val_97,approximated,359.138,2723.003,421.119,21.118,0.13189,155.072,2518.937,217.053,21.118,156.006,2519.871,217.987,21.118
chartqa,1792,1024,chartqa_val_98,approximated,356.085,3396.327,418.291,21.272,0.104844,155.916,3196.158,218.122,21.272,156.051,3196.293,218.257,21.272
chartqa,1792,1024,chartqa_val_99,approximated,360.076,5337.39,422.91,22.137,0.067463,156.611,5133.925,219.445,22.137,156.123,5133.437,218.957,22.137
chartqa,1792,1024,chartqa_val_100,approximated,349.768,1546.54,412.039,21.009,0.226162,154.579,1351.351,216.85,21.009,156.067,1352.839,218.338,21.009
chartqa,1792,1024,chartqa_val_101,approximated,357.514,3194.551,419.484,21.023,0.111914,155.322,2992.359,217.292,21.023,155.965,2993.002,217.935,21.023
