benchmark,resolution,max_new_tokens,sample_id,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,ve_speedup_measured,e2e_speedup_measured,ttft_speedup_measured,tpot_speedup_measured,e2e_speedup_amdahl,tpot_speedup,method
chartqa,1792,1024,chartqa_val_204,357.888,1367.215,420.354,21.041,0.261764,1.0108,,,,1.0028,1.0,amdahl
chartqa,1792,1024,chartqa_val_205,364.082,9589.178,426.897,22.512,0.037968,1.033,,,,1.0012,1.0,amdahl
chartqa,1792,1024,chartqa_val_206,362.949,4584.04,426.247,21.769,0.079177,0.9877,,,,0.999,1.0,amdahl
chartqa,1792,1024,chartqa_val_207,363.439,1619.222,425.774,22.101,0.224453,0.9986,,,,0.9997,1.0,amdahl
chartqa,1792,1024,chartqa_val_208,364.676,584.593,426.885,22.53,0.623812,1.0168,,,,1.0104,1.0,amdahl
chartqa,1792,1024,chartqa_val_209,360.862,576.914,423.326,21.941,0.625504,0.993,,,,0.9956,1.0,amdahl
chartqa,1792,1024,chartqa_val_210,363.756,1333.826,425.947,22.143,0.272716,0.9929,,,,0.998,1.0,amdahl
chartqa,1792,1024,chartqa_val_211,365.847,1470.711,428.061,23.17,0.248755,0.9946,,,,0.9986,1.0,amdahl
chartqa,1792,1024,chartqa_val_212,361.416,665.652,424.021,21.966,0.54295,0.9957,,,,0.9977,1.0,amdahl
chartqa,1792,1024,chartqa_val_213,362.674,1255.387,424.751,21.859,0.288894,0.9893,,,,0.9969,1.0,amdahl
chartqa,1792,1024,chartqa_val_214,356.911,680.017,419.181,21.736,0.524855,0.9949,,,,0.9973,1.0,amdahl
chartqa,1792,1024,chartqa_val_215,369.21,5086.499,431.107,22.169,0.072586,0.9975,,,,0.9998,1.0,amdahl
chartqa,1792,1024,chartqa_val_216,359.546,554.229,421.769,22.077,0.648733,1.003,,,,1.0019,1.0,amdahl
chartqa,1792,1024,chartqa_val_217,361.256,1537.561,423.431,21.846,0.234954,1.0143,,,,1.0033,1.0,amdahl
chartqa,1792,1024,chartqa_val_218,368.561,567.438,431.356,22.68,0.649518,0.9976,,,,0.9985,1.0,amdahl
chartqa,1792,1024,chartqa_val_219,359.022,1958.28,420.848,22.609,0.183335,0.9951,,,,0.9991,1.0,amdahl
chartqa,1792,1024,chartqa_val_220,364.731,2400.751,426.754,22.432,0.151924,0.9974,,,,0.9996,1.0,amdahl
