source_stage,benchmark,resolution,max_new_tokens,iteration_idx,run_id,sample_id,num_visual_tokens_before_merger,num_visual_tokens_after_merger,actual_generated_tokens,image_preprocess_ms,processor_ms,visual_encoder_ms,visual_merger_ms,patch_embed_ms,window_attn_total_ms,full_attn_total_ms,llm_prefill_ms,ttft_ms,decode_loop_ms,tpot_ms,e2e_ms,request_total_ms,request_output_tok_s,decode_only_tok_s,f_vision,f_visual_prefill,f_decode
stage6_tok64,docvqa,1792,64,0,iter000,docvqa_49153,16384,4096,31,241.733,241.733,353.926,0.731,2.288,316.709,28.137,413.782,416.422,646.358,21.545,1062.78,1304.513,29.169,46.414,0.333019,0.722358,0.608177
stage6_tok64,docvqa,1792,64,1,iter001,docvqa_24580,16384,4096,16,185.205,185.205,347.036,0.73,2.259,309.72,28.136,406.87,409.125,313.266,20.884,722.391,907.597,22.149,47.883,0.480399,1.043625,0.433652
stage6_tok64,docvqa,1792,64,2,iter002,docvqa_57349,16384,4096,11,217.759,217.759,397.592,0.732,2.26,360.312,28.305,826.25,828.478,222.423,22.242,1050.901,1268.66,10.467,44.959,0.378334,1.164564,0.21165
stage6_tok64,docvqa,1792,64,3,iter003,docvqa_24581,16384,4096,9,172.305,172.305,353.889,0.734,2.285,316.045,28.148,413.934,416.161,172.915,21.614,589.076,761.381,15.278,46.266,0.600753,1.303437,0.293536
stage6_tok64,docvqa,1792,64,4,iter004,docvqa_24582,16384,4096,10,179.229,179.229,356.788,0.727,2.313,319.929,28.205,779.597,782.057,194.809,21.645,976.865,1156.094,10.237,46.199,0.365238,1.163297,0.199422
stage6_tok32,docvqa,1792,32,0,iter000,docvqa_49153,16384,4096,31,225.203,225.203,355.4,0.729,2.287,318.528,28.13,415.17,417.741,663.624,22.121,1081.365,1306.568,28.667,45.206,0.328659,0.712591,0.613691
stage6_tok32,docvqa,1792,32,1,iter001,docvqa_24580,16384,4096,16,195.399,195.399,345.424,0.729,2.281,308.123,28.121,405.004,407.413,324.583,21.639,731.996,927.394,21.858,46.213,0.471893,1.02518,0.443422
stage6_tok32,docvqa,1792,32,2,iter002,docvqa_57349,16384,4096,11,218.791,218.791,349.633,0.73,2.263,312.493,28.112,765.499,767.892,222.185,22.219,990.077,1208.868,11.11,45.007,0.353137,1.126308,0.224412
stage6_tok32,docvqa,1792,32,3,iter003,docvqa_24581,16384,4096,9,174.686,174.686,357.068,0.733,2.273,319.636,28.14,416.802,419.121,178.322,22.29,597.442,772.128,15.064,44.863,0.597662,1.295306,0.298475
stage6_tok32,docvqa,1792,32,4,iter004,docvqa_24582,16384,4096,10,184.548,184.548,346.309,0.727,2.273,306.995,28.073,760.638,762.832,198.657,22.073,961.489,1146.037,10.401,45.304,0.360179,1.151283,0.206614
stage6_tok256,docvqa,1792,256,0,iter000,docvqa_49153,16384,4096,31,235.947,235.947,352.776,0.73,2.288,315.319,28.136,412.658,415.19,646.115,21.537,1061.305,1297.252,29.209,46.431,0.332398,0.72122,0.608793
stage6_tok256,docvqa,1792,256,1,iter001,docvqa_24580,16384,4096,16,155.631,155.631,353.111,0.73,2.273,316.597,28.142,412.584,414.833,326.533,21.769,741.366,896.997,21.582,45.937,0.476298,1.032817,0.440447
stage6_tok256,docvqa,1792,256,2,iter002,docvqa_57349,16384,4096,11,229.733,229.733,353.362,0.731,2.266,315.184,28.094,767.27,769.66,216.247,21.625,985.907,1215.64,11.157,46.243,0.358413,1.136651,0.219338
stage6_tok256,docvqa,1792,256,3,iter003,docvqa_24581,16384,4096,9,188.037,188.037,356.165,0.73,2.278,319.627,28.131,415.529,417.738,174.606,21.826,592.343,780.381,15.194,45.818,0.601281,1.302782,0.294771
stage6_tok256,docvqa,1792,256,4,iter004,docvqa_24582,16384,4096,10,193.882,193.882,351.162,0.728,2.268,313.785,28.147,775.746,778.072,194.338,21.593,972.411,1166.292,10.284,46.311,0.361125,1.158881,0.199852
