sample_id,benchmark,merged_h,merged_w,n_visual_tokens,is_boundary,fa2_n_out,guide_n_out,tok_match,fa2_ve_ms,guide_ve_ms,ve_speedup,fa2_ttft_ms,guide_ttft_ms,ttft_speedup,fa2_e2e_ms,guide_e2e_ms,e2e_speedup,fa2_tpot_ms,guide_tpot_ms,fa2_anls,guide_anls,fa2_relaxed_acc,guide_relaxed_acc
docvqa_57388,docvqa,84,60,5040,False,20,20,True,211.874,208.4,1.0167,295.343,292.648,1.0092,845.56,837.338,1.0098,28.959,28.668,0.0,0.0,-1,-1
docvqa_57391,docvqa,85,61,5185,True,11,11,True,218.47,217.661,1.0037,305.203,304.008,1.0039,615.409,560.296,1.0984,31.021,25.629,0.0,0.0,-1,-1
docvqa_57395,docvqa,85,61,5185,True,15,15,True,217.124,238.129,0.9118,302.624,328.172,0.9222,733.55,688.997,1.0647,30.78,25.773,0.0,0.0,-1,-1
docvqa_57402,docvqa,84,59,4956,True,46,46,True,209.106,203.005,1.0301,291.916,290.14,1.0061,1619.616,1611.483,1.005,29.504,29.363,0.0,0.0,-1,-1
docvqa_57403,docvqa,84,59,4956,True,38,49,False,204.234,204.111,1.0006,287.811,289.087,0.9956,1340.483,1714.3,0.7819,28.451,29.692,0.0,0.0,-1,-1
docvqa_57404,docvqa,84,59,4956,True,28,28,True,197.833,203.987,0.9698,281.398,288.002,0.9771,1068.584,1118.449,0.9554,29.155,30.757,0.0,0.0,-1,-1
docvqa_57407,docvqa,84,59,4956,True,21,21,True,204.459,204.423,1.0002,286.863,287.462,0.9979,865.906,905.518,0.9563,28.952,30.903,0.0,0.0,-1,-1
docvqa_57409,docvqa,85,61,5185,True,11,11,True,219.743,219.512,1.0011,305.624,314.475,0.9719,638.455,602.948,1.0589,33.283,28.847,0.0,0.0,-1,-1
docvqa_57410,docvqa,85,61,5185,True,17,17,True,219.418,219.541,0.9994,304.959,305.865,0.997,798.634,722.409,1.1055,30.855,26.034,0.0,0.0,-1,-1
docvqa_57411,docvqa,85,61,5185,True,29,29,True,217.806,218.096,0.9987,302.678,303.831,0.9962,1071.344,1050.822,1.0195,27.452,26.678,0.0,0.0,-1,-1
docvqa_57413,docvqa,85,61,5185,True,36,36,True,219.509,217.203,1.0106,304.67,303.304,1.0045,1305.283,1244.261,1.049,28.589,26.884,0.56,0.56,-1,-1
docvqa_57414,docvqa,85,61,5185,True,19,19,True,220.989,216.46,1.0209,306.76,301.801,1.0164,799.895,783.624,1.0208,27.396,26.768,0.5,0.5,-1,-1
docvqa_57415,docvqa,85,61,5185,True,26,22,False,219.255,217.502,1.0081,306.926,304.437,1.0082,1054.692,855.919,1.2322,29.911,26.261,0.0,0.0,-1,-1
docvqa_57416,docvqa,85,61,5185,True,16,16,True,228.742,216.425,1.0569,314.397,301.862,1.0415,706.78,689.351,1.0253,26.159,25.833,0.0,0.0,-1,-1
docvqa_57417,docvqa,85,61,5185,True,14,14,True,220.956,216.931,1.0186,306.344,302.801,1.0117,705.432,643.053,1.097,30.699,26.173,0.0,0.0,-1,-1
docvqa_57418,docvqa,85,61,5185,True,16,16,True,222.824,216.2,1.0306,308.166,301.711,1.0214,771.618,690.213,1.1179,30.897,25.9,0.5714,0.5714,-1,-1
