benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_prefill_ms,sdpa_ttft_ms,sdpa_decode_ms,sdpa_e2e_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_prefill_ms,fa2_ttft_ms,fa2_e2e_ms,fa2_tpot_ms,guide_ve_ms,guide_prefill_ms,guide_ttft_ms,guide_e2e_ms,guide_tpot_ms
docvqa,1792,1024,docvqa_8560,approximated,436.942,497.947,500.372,472.936,973.308,24.891,0.448925,156.316,224.532,226.939,699.875,24.891,156.903,223.216,226.094,699.03,24.891
docvqa,1792,1024,docvqa_4958,approximated,381.814,441.701,444.159,321.406,765.565,20.088,0.498735,156.77,230.112,232.903,554.309,20.088,156.547,222.78,225.227,546.633,20.088
docvqa,1792,1024,docvqa_8565,approximated,379.257,438.951,441.877,635.064,1076.941,24.426,0.352161,155.095,225.359,227.659,862.723,24.426,156.79,223.328,225.801,860.865,24.426
docvqa,1792,1024,docvqa_4959,approximated,405.013,464.905,467.333,113.749,581.082,22.75,0.696998,157.725,224.447,227.246,340.995,22.75,156.705,222.993,225.507,339.256,22.75
docvqa,1792,1024,docvqa_375,approximated,347.572,407.294,409.699,571.075,980.774,24.829,0.354385,177.994,244.701,248.661,819.736,24.829,156.73,223.083,225.604,796.679,24.829
docvqa,1792,1024,docvqa_376,approximated,345.066,404.375,406.682,485.733,892.415,22.079,0.386666,158.227,224.609,227.261,712.994,22.079,156.341,222.503,225.245,710.978,22.079
docvqa,1792,1024,docvqa_377,approximated,363.237,422.716,426.467,304.439,730.906,27.676,0.496967,169.528,235.716,239.293,543.732,27.676,156.631,222.703,225.102,529.541,27.676
docvqa,1792,1024,docvqa_49528,approximated,348.338,407.862,410.069,158.4,568.469,19.8,0.612765,157.113,223.446,226.046,384.446,19.8,156.517,222.853,225.317,383.717,19.8
docvqa,1792,1024,docvqa_49530,approximated,420.474,479.856,482.079,165.746,647.825,20.718,0.649054,157.209,223.807,226.156,391.902,20.718,156.566,223.025,225.512,391.258,20.718
docvqa,1792,1024,docvqa_49532,approximated,353.051,412.894,415.145,381.611,796.756,22.448,0.443111,157.153,225.393,227.67,609.281,22.448,156.711,222.658,224.965,606.576,22.448
docvqa,1792,1024,docvqa_24499,approximated,390.082,450.448,452.67,77185.955,77638.625,229.038,0.005024,160.44,226.943,229.319,77415.274,229.038,156.524,222.536,224.833,77410.788,229.038
docvqa,1792,1024,docvqa_49534,approximated,394.411,454.075,456.677,397.43,854.107,20.917,0.461782,155.492,221.767,224.499,621.929,20.917,156.674,222.878,225.582,623.012,20.917
docvqa,1792,1024,docvqa_383,approximated,560.82,620.539,623.433,992.234,1615.667,24.806,0.347114,157.925,224.227,226.827,1219.061,24.806,156.674,223.616,225.911,1218.145,24.806
docvqa,1792,1024,docvqa_384,approximated,382.327,442.003,445.108,1202.762,1647.87,25.058,0.232013,155.442,221.748,224.342,1427.104,25.058,156.55,222.747,225.338,1428.1,25.058
docvqa,1792,1024,docvqa_385,approximated,400.033,459.917,462.475,1743.307,2205.782,22.938,0.181356,168.637,235.623,238.558,1981.865,22.938,157.121,223.721,226.407,1969.714,22.938
docvqa,1792,1024,docvqa_49536,approximated,396.599,456.331,459.918,974.871,1434.789,22.156,0.276416,155.323,221.902,224.315,1199.186,22.156,156.541,222.701,225.397,1200.268,22.156
docvqa,1792,1024,docvqa_24500,approximated,358.842,418.662,421.019,995.703,1416.722,22.63,0.253291,158.956,227.324,230.039,1225.742,22.63,156.659,222.671,224.985,1220.688,22.63
